493,400
521,431
480,438
376,382
430,413
497,430
520,430
506,434
382,377
394,395
490,441
507,414
516,433
440,420
388,393
450,428
489,416
521,435
486,445
372,383
412,411
474,434
514,429
508,449
400,395
396,400
472,437
492,422
513,439
453,437
382,394
428,428
474,424
518,437
484,444
369,387
400,413
470,450
504,433
507,444
413,407
370,396
451,431
487,417
514,443
474,448
376,388
415,417
483,432
513,432
499,448
389,396
371,400
531,416
580,355
647,332
616,275
604,213
698,229
761,206
811,221
778,222
676,161
691,187
765,214
759,198
741,216
612,182
595,184
646,232
667,213
673,241
599,239
488,198
515,231
535,236
553,252
515,269
389,216
398,241
468,286
482,269
463,289
382,266
342,251
404,291
438,286
480,312
426,318
331,263
372,291
433,318
468,320
449,335
350,289
346,292
411,336
448,316
461,342
380,327
319,289
374,322
425,317
460,336
438,347
337,296
358,320
429,353
460,342
434,354
371,311
315,303
399,336
426,317
439,337
387,342
290,283
364,293
424,335
500,361
441,367
257,299
327,302
403,352
436,338
445,360
368,341
328,311
371,342
415,340
448,355
414,350
312,309
348,333
409,364
453,359
440,373
339,325
325,329
398,365
438,353
453,376
403,370
329,323
389,325
438,303
476,298
456,295
359,248
395,302
492,403
500,451
515,523
418,524
379,524
437,565
455,545
484,572
454,583
363,529
405,560
466,574
479,570
488,585
370,528
375,540
456,580
478,558
481,575
420,564
354,521
417,557
464,553
499,569
475,575
376,513
406,541
467,571
497,555
501,571
385,523
373,514
442,554
475,534
496,561
459,559
363,503
419,530
465,535
498,544
485,552
365,492
389,508
470,554
491,529
503,545
427,518
384,492
442,525
465,511
500,534
464,541
369,478
398,503
480,530
506,524
495,536
396,487
384,488
466,527
493,508
511,530
459,526
375,479
438,508
473,510
519,521
490,534
384,469
398,492
491,525
514,503
506,522
426,487
390,468
463,512
479,494
523,520
485,529
366,466
414,491
473,504
513,503
486,519
391,459
390,477
486,514
490,491
502,510
426,493
376,463
438,492
479,485
516,503
487,514
384,446
417,473
474,498
509,491
503,501
